FID,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
17,Echo Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,16,0,0,-1,0, ,https://empowerla.org/gepenc,0.192451738779,0.00103609249439,15501349.5898438,23749.7199840501,a7109653-2f95-4553-8190-b0183e5697ba
18,Elysian Valley Riverside,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,17,0,0,-1,0, ,https://empowerla.org/evrnc/,0.0871956391755,0.00018507786486,2769627.64453125,10674.0794711435,04709870-8d81-4086-b859-6201853bdec6
19,Empowerment Congress Central,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,18,0,0,-1,0, ,https://empowerla.org/eccandc/,0.125768275055,0.00071417013768,10673969.6289063,15656.0529220857,891248da-7483-4668-a003-07a58805748e
20,Empowerment Congress North,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,19,0,0,-1,0, ,https://empowerla.org/ecnandc/,0.136367092515,0.000969632469231,14497632.6835938,16382.3630633173,e086b956-de4a-4500-99d5-d6ddcfaf3bfa
21,Empowerment Congress Southeast,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,20,0,0,-1,0, ,https://empowerla.org/ecseandc,0.144532156186,0.00106839990267,15960377.875,17651.7441081055,3acbc3f6-9f3c-4b15-9ac1-c73dac116ff8
22,Empowerment Congress Southwest,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,21,0,0,-1,0, ,https://empowerla.org/ecswandc/,0.124799883533,0.000673429140524,10061387.328125,15556.6371999255,1cf11c85-80b5-49f7-9a17-a8d881b38a84
23,Empowerment Congress West,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,22,0,0,-1,0, ,https://empowerla.org/ecwandc/,0.193589611361,0.000825981635756,12348209.375,23200.1224023293,bf45ffe8-a8f9-4eae-891a-4f580b7ad56a
24,Encino,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,23,0,0,-1,0, ,https://empowerla.org/enc/,0.267972584997,0.00344209284916,51546235.0976563,32959.186239739,99067c8b-d968-401a-90ea-04e07e58b146
25,Foothill Trails District,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,24,0,0,-1,0, ,https://empowerla.org/ftdnc/,0.628161395358,0.00496699653344,74468487.234375,74824.5446760791,6dfe496d-1bf5-49a9-ab63-451da53aea13
26,Glassell Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,25,0,0,-1,0, ,https://empowerla.org/gpnc,0.13611050938,0.00064230244244,9614069.2109375,16552.0599842893,e6fbbed6-0357-4786-9afc-5b263c0942c0
27,Granada Hills North,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,26,0,0,-1,0, ,https://empowerla.org/ghnnc/,0.236726758132,0.00293734986685,44061438.6367188,28998.8003656428,194dc8da-dd15-4dc2-9f17-778412b6edb7
28,Granada Hills South,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,27,0,0,-1,0, ,https://empowerla.org/ghsnc/,0.1599734565,0.001145654465,17178234.671875,18994.8224782255,bb214f13-daa6-49bf-8c45-270505bc753b
29,Greater Cypress Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,28,0,0,-1,0, ,https://empowerla.org/gcpnc,0.124945019214,0.000321377372765,4809121.65625,15071.3761867583,112c3b27-61bf-4cbe-9e22-156308d1c20e
30,Greater Toluca Lake,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,29,0,0,-1,0, ,https://empowerla.org/gtlnc/,0.121175032494,0.00037815752283,5662742.44921875,14838.3206209326,fc36c24a-e614-436c-82ad-66196eacb99c
31,Greater Valley Glen,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,30,0,0,-1,0, ,https://empowerla.org/gvgc/,0.149055877791,0.000963959419524,14439976.4375,17851.0328454307,565350c8-5da3-42d4-8638-5e3bfdc69d1e
32,Greater Wilshire,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,15,0,0,-1,0, ,https://empowerla.org/gwnc/,0.150212368138,0.00101216168236,15141772.7304688,18225.3656070239,11eeec24-7432-42bb-844f-c0843f8fa9bc
33,Harbor City,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,9,0,0,-1,0, ,https://empowerla.org/harborcity/,0.139990249359,0.000646507737874,9640260.76953125,17337.4416608528,b8b0251a-0bbd-4813-b3b0-c6793cfa0d31
34,Harbor Gateway North,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,33,0,0,-1,0, ,https://empowerla.org/hgnnc,0.203270572707,0.000799322836765,11935395.0078125,25516.2568810848,e7c93869-8852-4be6-a12c-151e8086d4de
35,Harbor Gateway South,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,11,0,0,-1,0, ,https://empowerla.org/hgsnc/,0.224228082613,0.000815540422398,12168551.6914063,28336.3231469495,68a86dfd-001c-4c08-a3f3-8de6c46c4c65
36,Hermon,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,1,0,0,-1,0, ,https://empowerla.org/hnc/,0.104672013288,0.000232980414535,3486587.140625,12876.1934576402,1dc95268-2eaa-472b-bee3-adb8d6ea199b
37,Arts District Little Tokyo,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,35,0,0,-1,0, ,https://empowerla.org/adltnc/,0.0682532468018,0.0002230901855,3336406.1640625,8415.56045221497,64962905-ab9d-473c-9e35-4e90e3b64a47
38,Historic Cultural North,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,36,0,0,-1,0, , ,0.118615917008,0.00036228832371,5419412.27734375,14560.6694013995,79e10149-7de2-42fe-b4af-22db9a3ebf6c
39,Historic Highland Park,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,1,0,0,-1,0, ,https://empowerla.org/hhpnc/,0.262814051977,0.00103890489965,15550047.2929688,32065.6883734622,ffbb46de-df72-4719-a848-031d96860fa0
40,Hollywood Hills West,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,38,0,0,-1,0, ,https://empowerla.org/hhwnc,0.340660269734,0.00185172859984,27718764.2578125,41326.2522067527,5a8bdb0f-632f-4838-abb8-f080e7b53462
41,Hollywood Studio District,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,39,0,0,-1,0, ,https://empowerla.org/hsdnc,0.0814949311673,0.00032041555917,4794587.99609375,9845.09064074226,e112704e-cbf6-42b7-908a-3fe120eb12b0
42,Hollywood United,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,15,0,0,-1,0, ,https://empowerla.org/hunc,0.326516443944,0.00229788433437,34400595.1914063,39573.1950483817,64030ee6-b20f-4617-acce-9cb6a9f05449
43,LA32,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,41,0,0,-1,0, ,https://empowerla.org/la32/,0.213568323589,0.00128883334355,19283342.3671875,26211.7091178217,09ffd3fb-b71e-4d3a-bb4e-868df6d72d34
44,Lake Balboa,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,10,0,0,-1,0, ,https://empowerla.org/lbnc,0.224753404354,0.00226029033863,33863002.21875,28010.2349432817,d3bff6c6-fe86-4ab2-b5be-417fff61e1fe
45,Lincoln Heights,2018 Maps/2018 Bylaw Amendments/Boundary Adjustments,43,0,0,-1,0, ,https://empowerla.org/lhnc,0.150196268308,0.00079742635532,11929500.84375,18418.0151841464,622d3d89-6b0c-47ee-b1d4-973837ac6b19
